1,67.5,67.5
2,67.9,67.9
3,68.1,68.1
4,68.2,68.2
5,68.3,68.3
6,68.4,68.4
7,68.5,68.5
8,68.8,68.8
9,69,69
10,69.4,69.4
11,69.8,69.8
12,70.1,70.1
13,70.2,70.2
14,70.4,70.4
15,70.4,70.4
16,70.5,70.5
17,70.6,70.6
18,70.6,70.6
19,70.7,70.7
20,70.8,70.8
21,71,71
22,71.2,71.2
23,71.4,71.4
24,71.6,71.6
25,71.7,71.7
26,71.8,71.8
27,71.9,71.9
28,72,72
29,72.1,72.1
30,72.2,72.2
31,72.3,72.3
32,73.7,73.7
33,73.9,73.9
34,74,74
35,74.2,74.2
36,74.4,74.4
37,74.5,74.5
38,74.7,74.7
39,74.7,74.7
40,74.8,74.8
41,74.9,74.9
42,75,75
43,75.2,75.2
44,75.5,75.5
45,75.6,75.6
46,75.8,75.8
47,76,76
48,76.1,76.1
49,76.3,76.3
50,76.4,76.4
51,76.5,76.5
52,76.6,76.6
53,76.7,76.7
54,76.8,76.8
55,83.4,83.4
56,84.1,84.1
57,84.3,84.3
58,84.5,84.5
59,84.6,84.6
60,84.8,84.8
61,84.9,84.9
62,85,85
63,85.2,85.2
64,85.3,85.3
65,85.4,85.4
66,85.5,85.5
67,85.6,85.6
68,86.1,86.1
69,86.3,86.3
70,86.4,86.4
71,86.6,86.6
72,86.8,86.8
73,86.9,86.9
74,87,87
75,87.2,87.2
76,87.3,87.3
77,87.4,87.4
78,87.5,87.5
79,87.7,87.7
80,87.8,87.8
81,88,88
82,88.2,88.2
83,88.4,88.4
84,88.6,88.6
85,88.7,88.7
86,88.8,88.8
87,89,89
88,89.1,89.1
89,89.2,89.2
90,89.3,89.3
91,89.5,89.5
92,89.6,89.6
93,89.7,89.7
94,89.9,89.9
95,90.1,90.1
96,90.2,90.2
97,90.4,90.4
98,90.5,90.5
99,90.7,90.7
100,90.8,90.8
101,90.9,90.9
102,91,91
103,91.2,91.2
104,91.4,91.4
105,91.6,91.6
106,91.8,91.8
107,92,92
108,92.1,92.1
109,92.3,92.3
110,92.4,92.4
111,92.6,92.6
112,92.7,92.7
113,92.8,92.8
114,93,93
115,93.1,93.1
116,93.3,93.3
117,93.4,93.4
118,93.6,93.6
119,93.8,93.8
120,94,94
121,94.2,94.2
122,94.3,94.3
123,94.5,94.5
124,94.6,94.6
125,94.8,94.8
126,94.9,94.9
127,96.2,96.2
128,96.4,96.4
129,96.6,96.6
130,96.7,96.7
131,96.9,96.9
132,97.1,97.1
133,97.3,97.3
134,97.4,97.4
135,97.6,97.6
136,97.7,97.7
137,97.9,97.9
138,98,98
139,98.2,98.2
140,98.3,98.3
141,98.5,98.5
142,98.7,98.7
143,98.9,98.9
144,99,99
145,99.2,99.2
146,99.4,99.4
147,99.5,99.5
148,99.7,99.7
149,99.9,99.9
150,100,100
151,100.2,100.2
152,100.3,100.3
153,100.5,100.5
154,100.7,100.7
155,100.9,100.9
156,101.1,101.1
157,101.3,101.3
158,101.4,101.4
159,101.6,101.6
160,101.8,101.8
161,101.9,101.9
162,102.1,102.1
163,102.4,102.4
164,102.5,102.5
165,102.7,102.7
166,102.9,102.9
167,103.1,103.1
168,103.3,103.3
169,103.5,103.5
170,103.6,103.6
171,103.8,103.8
172,104,104
173,104.2,104.2
174,104.3,104.3
175,104.5,104.5
176,104.7,104.7
177,104.9,104.9
178,105.1,105.1
179,105.3,105.3
180,105.5,105.5
181,105.7,105.7
182,105.9,105.9
183,106,106
184,106.2,106.2
185,106.4,106.4
186,106.6,106.6
187,106.8,106.8
188,107,107
189,107.2,107.2
190,107.4,107.4
191,107.6,107.6
192,107.8,107.8
193,108,108
194,108.2,108.2
195,108.4,108.4
196,108.6,108.6
197,108.8,108.8
198,109,109
199,109.1,109.1
200,109.3,109.3
201,110,110
202,110.2,110.2
203,110.4,110.4
204,110.6,110.6
205,110.8,110.8
206,111,111
207,111.2,111.2
208,111.4,111.4
209,111.6,111.6
210,111.8,111.8
211,111.9,111.9
212,112.1,112.1
213,112.4,112.4
214,112.7,112.7
215,112.9,112.9
216,113.1,113.1
217,113.4,113.4
218,113.6,113.6
219,113.8,113.8
220,114,114
221,114.1,114.1
222,114.3,114.3
223,114.5,114.5
224,114.7,114.7
225,114.9,114.9
226,115.2,115.2
227,115.4,115.4
228,115.7,115.7
229,115.9,115.9
230,116.1,116.1
231,116.3,116.3
232,116.5,116.5
233,116.7,116.7
234,116.9,116.9
235,117.1,117.1
236,117.3,117.3
237,117.5,117.5
238,117.7,117.7
239,118,118
240,118.3,118.3
