Temperature Viscosity Relationship at (Short Term Aging and/or RTFO Condition
Ao, 10.299
VTSo, -3.426
Log Temp (Rankine), Log(Viscosity (cp))
2.69870934944259, 11.3037298274076
2.7240299729356, 9.25706498961363
2.74795530690673, 7.6648757383091
2.77063112777781, 6.4094056111644
