 #Air Temperature Distribution
 #Number of hourly occurences
 #Temperatures degree Celsius top row (-30 to -25...-25 to -20,...
Month/Year,-30,-25,-20,-15,-10, -5,  0,  5, 10, 15, 20, 25, 30, 35, 40, 45
6/1984,  0,  0,  0,  0,  0,  0,  0,  1, 20, 62,258,362, 17,  0,  0,  0
7/1984,  0,  0,  0,  0,  0,  0,  0,  0,  0, 11,296,367, 70,  0,  0,  0
8/1984,  0,  0,  0,  0,  0,  0,  0,  0,  0, 23,306,372, 43,  0,  0,  0
9/1984,  0,  0,  0,  0,  0,  0,  0,  0, 68,156,253,197, 46,  0,  0,  0
10/1984,  0,  0,  0,  0,  0,  0,  0, 30, 40,161,411,102,  0,  0,  0,  0
11/1984,  0,  0,  0,  0,  0, 23,117,155,210,159, 49,  7,  0,  0,  0,  0
12/1984,  0,  0,  0,  0,  0, 38, 66,106,129,291,114,  0,  0,  0,  0,  0
1/1985,  0,  0,  0, 17, 53,204,258,132, 52, 28,  0,  0,  0,  0,  0,  0
2/1985,  0,  0,  0,  0, 42,116,142, 94,160,101, 17,  0,  0,  0,  0,  0
3/1985,  0,  0,  0,  0,  0,  1, 25,120,250,211,114, 23,  0,  0,  0,  0
4/1985,  0,  0,  0,  0,  0,  0, 16, 75,143,204,209, 73,  0,  0,  0,  0
5/1985,  0,  0,  0,  0,  0,  0,  0,  0, 34,237,302,161, 10,  0,  0,  0
6/1985,  0,  0,  0,  0,  0,  0,  0,  0,  7, 64,296,258, 95,  0,  0,  0
7/1985,  0,  0,  0,  0,  0,  0,  0,  0,  0,  7,274,380, 83,  0,  0,  0
8/1985,  0,  0,  0,  0,  0,  0,  0,  0,  0,  8,258,389, 89,  0,  0,  0
9/1985,  0,  0,  0,  0,  0,  0,  0, 11, 34,135,328,201, 11,  0,  0,  0
10/1985,  0,  0,  0,  0,  0,  0,  0, 27,105,197,321, 94,  0,  0,  0,  0
11/1985,  0,  0,  0,  0,  0,  0, 11, 86,186,256,149, 32,  0,  0,  0,  0
12/1985,  0,  0,  0,  0, 11,160,190,184,117, 73,  9,  0,  0,  0,  0,  0
1/1986,  0,  0,  0,  0, 15, 87,187,231,163, 54,  7,  0,  0,  0,  0,  0
2/1986,  0,  0,  0,  0,  9, 61, 95,124,161,146, 63, 13,  0,  0,  0,  0
3/1986,  0,  0,  0,  0,  0, 32, 58,133,183,212,115, 11,  0,  0,  0,  0
4/1986,  0,  0,  0,  0,  0,  0,  7, 79,161,246,160, 67,  0,  0,  0,  0
5/1986,  0,  0,  0,  0,  0,  0,  0, 14, 26,180,337,186,  1,  0,  0,  0
6/1986,  0,  0,  0,  0,  0,  0,  0,  0,  0, 10,300,337, 73,  0,  0,  0
7/1986,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,188,355,180, 21,  0,  0
8/1986,  0,  0,  0,  0,  0,  0,  0,  0,  0, 36,265,275,164,  4,  0,  0
9/1986,  0,  0,  0,  0,  0,  0,  0,  0,  0, 39,296,309, 76,  0,  0,  0
10/1986,  0,  0,  0,  0,  0,  0,  0, 17,170,315,163, 60, 19,  0,  0,  0
11/1986,  0,  0,  0,  0,  0, 14, 38, 82,204,251,114, 17,  0,  0,  0,  0
12/1986,  0,  0,  0,  0,  0, 29,221,321,123, 45,  5,  0,  0,  0,  0,  0
1/1987,  0,  0,  0,  0,  0,103,256,185,161, 34,  5,  0,  0,  0,  0,  0
2/1987,  0,  0,  0,  0,  0, 16,107,226,186,126, 11,  0,  0,  0,  0,  0
3/1987,  0,  0,  0,  0,  0, 10, 91,202,220,158, 63,  0,  0,  0,  0,  0
4/1987,  0,  0,  0,  0,  0, 13, 43, 81,179,218,135, 51,  0,  0,  0,  0
5/1987,  0,  0,  0,  0,  0,  0,  0,  0,  4,117,423,200,  0,  0,  0,  0
6/1987,  0,  0,  0,  0,  0,  0,  0,  0,  0, 40,357,319,  4,  0,  0,  0
7/1987,  0,  0,  0,  0,  0,  0,  0,  0,  0,  6,232,378,128,  0,  0,  0
8/1987,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,209,405,130,  0,  0,  0
