1,67.5,67.5
2,67.9,67.9
3,68.1,68.1
4,68.2,68.2
5,68.3,68.3
6,68.4,68.4
7,68.6,68.6
8,68.8,68.8
9,69,69
10,69.4,69.4
11,69.8,69.8
12,70,70
13,70.2,70.2
14,70.3,70.3
15,70.4,70.4
16,70.5,70.5
17,70.5,70.5
18,70.6,70.6
19,70.7,70.7
20,71.1,71.1
21,71.4,71.4
22,71.7,71.7
23,71.8,71.8
24,72,72
25,72.1,72.1
26,72.2,72.2
27,72.3,72.3
28,72.4,72.4
29,72.5,72.5
30,72.6,72.6
31,72.8,72.8
32,75.4,75.4
33,75.6,75.6
34,75.7,75.7
35,75.9,75.9
36,76.1,76.1
37,76.2,76.2
38,76.3,76.3
39,76.4,76.4
40,76.5,76.5
41,76.6,76.6
42,76.8,76.8
43,77,77
44,77.3,77.3
45,77.5,77.5
46,77.7,77.7
47,77.9,77.9
48,78,78
49,78.2,78.2
50,78.3,78.3
51,78.4,78.4
52,78.5,78.5
53,78.6,78.6
54,78.7,78.7
55,82,82
56,82.9,82.9
57,83.1,83.1
58,83.3,83.3
59,83.4,83.4
60,83.6,83.6
61,83.7,83.7
62,83.8,83.8
63,83.9,83.9
64,84,84
65,84.1,84.1
66,84.3,84.3
67,84.4,84.4
68,85.4,85.4
69,85.6,85.6
70,85.8,85.8
71,86,86
72,86.1,86.1
73,86.3,86.3
74,86.4,86.4
75,86.5,86.5
76,86.6,86.6
77,86.7,86.7
78,86.8,86.8
79,87,87
80,87.2,87.2
81,87.4,87.4
82,87.5,87.5
83,87.7,87.7
84,87.8,87.8
85,88,88
86,88.1,88.1
87,88.2,88.2
88,88.3,88.3
89,88.5,88.5
90,88.6,88.6
91,88.8,88.8
92,88.9,88.9
93,89.1,89.1
94,89.3,89.3
95,89.4,89.4
96,89.6,89.6
97,89.7,89.7
98,89.9,89.9
99,90,90
100,90.1,90.1
101,90.3,90.3
102,90.4,90.4
103,90.5,90.5
104,90.7,90.7
105,91,91
106,91.1,91.1
107,91.3,91.3
108,91.4,91.4
109,91.6,91.6
110,91.7,91.7
111,91.9,91.9
112,92,92
113,92.1,92.1
114,92.3,92.3
115,92.5,92.5
116,92.6,92.6
117,92.8,92.8
118,92.9,92.9
119,93.1,93.1
120,93.3,93.3
121,93.5,93.5
122,93.6,93.6
123,93.8,93.8
124,93.9,93.9
125,94,94
126,94.2,94.2
127,95.6,95.6
128,95.7,95.7
129,95.9,95.9
130,96.1,96.1
131,96.2,96.2
132,96.4,96.4
133,96.6,96.6
134,96.7,96.7
135,96.9,96.9
136,97,97
137,97.2,97.2
138,97.3,97.3
139,97.4,97.4
140,97.6,97.6
141,97.8,97.8
142,97.9,97.9
143,98.1,98.1
144,98.3,98.3
145,98.5,98.5
146,98.6,98.6
147,98.8,98.8
148,98.9,98.9
149,99.1,99.1
150,99.3,99.3
151,99.5,99.5
152,99.6,99.6
153,99.8,99.8
154,100,100
155,100.2,100.2
156,100.3,100.3
157,100.5,100.5
158,100.7,100.7
159,100.8,100.8
160,101,101
161,101.2,101.2
162,101.3,101.3
163,101.5,101.5
164,101.6,101.6
165,101.9,101.9
166,102.1,102.1
167,102.3,102.3
168,102.5,102.5
169,102.6,102.6
170,102.8,102.8
171,103,103
172,103.1,103.1
173,103.3,103.3
174,103.5,103.5
175,103.6,103.6
176,103.8,103.8
177,104.1,104.1
178,104.3,104.3
179,104.5,104.5
180,104.7,104.7
181,104.9,104.9
182,105,105
183,105.2,105.2
184,105.4,105.4
185,105.5,105.5
186,105.7,105.7
187,105.9,105.9
188,106,106
189,106.2,106.2
190,106.4,106.4
191,106.6,106.6
192,106.8,106.8
193,107,107
194,107.2,107.2
195,107.4,107.4
196,107.6,107.6
197,107.7,107.7
198,107.9,107.9
199,108.2,108.2
200,108.4,108.4
201,108.8,108.8
202,109,109
203,109.2,109.2
204,109.4,109.4
205,109.6,109.6
206,109.8,109.8
207,110,110
208,110.2,110.2
209,110.3,110.3
210,110.5,110.5
211,110.7,110.7
212,111,111
213,111.2,111.2
214,111.4,111.4
215,111.6,111.6
216,111.9,111.9
217,112.1,112.1
218,112.3,112.3
219,112.4,112.4
220,112.6,112.6
221,112.8,112.8
222,113,113
223,113.2,113.2
224,113.4,113.4
225,113.6,113.6
226,113.8,113.8
227,114,114
228,114.2,114.2
229,114.5,114.5
230,114.7,114.7
231,114.9,114.9
232,115,115
233,115.2,115.2
234,115.4,115.4
235,115.6,115.6
236,115.9,115.9
237,116.1,116.1
238,116.3,116.3
239,116.6,116.6
240,116.8,116.8
