 #Air Temperature Distribution
 #Number of hourly occurences
 #Temperatures degree Celsius top row (-30 to -25...-25 to -20,...
Month/Year,-30,-25,-20,-15,-10, -5,  0,  5, 10, 15, 20, 25, 30, 35, 40, 45
6/1984,  0,  0,  0,  0,  0,  0,  0,  0, 11, 38,265,370, 36,  0,  0,  0
7/1984,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,204,475, 65,  0,  0,  0
8/1984,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,248,445, 51,  0,  0,  0
9/1984,  0,  0,  0,  0,  0,  0,  0,  0, 15,111,320,254, 20,  0,  0,  0
10/1984,  0,  0,  0,  0,  0,  0,  0, 16, 23,112,408,185,  0,  0,  0,  0
11/1984,  0,  0,  0,  0,  0,  4, 62,136,159,232,120,  7,  0,  0,  0,  0
12/1984,  0,  0,  0,  0,  0, 12, 49, 51,159,340,133,  0,  0,  0,  0,  0
1/1985,  0,  0,  0, 13, 19,102,195,188,152, 58, 17,  0,  0,  0,  0,  0
2/1985,  0,  0,  0,  0,  0, 51,101,155,205,127, 33,  0,  0,  0,  0,  0
3/1985,  0,  0,  0,  0,  0,  0,  7, 36,196,307,166, 32,  0,  0,  0,  0
4/1985,  0,  0,  0,  0,  0,  0,  3, 40, 88,245,252, 90,  2,  0,  0,  0
5/1985,  0,  0,  0,  0,  0,  0,  0,  0,  5,127,376,225, 11,  0,  0,  0
6/1985,  0,  0,  0,  0,  0,  0,  0,  0,  0, 11,294,315,100,  0,  0,  0
7/1985,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,172,497, 75,  0,  0,  0
8/1985,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,146,522, 76,  0,  0,  0
9/1985,  0,  0,  0,  0,  0,  0,  0,  0, 18, 76,347,265, 14,  0,  0,  0
10/1985,  0,  0,  0,  0,  0,  0,  0, 13, 34,135,403,159,  0,  0,  0,  0
11/1985,  0,  0,  0,  0,  0,  0,  3, 37,117,323,201, 39,  0,  0,  0,  0
12/1985,  0,  0,  0,  0,  0, 69,180,159,179,115, 42,  0,  0,  0,  0,  0
1/1986,  0,  0,  0,  0,  0, 38,146,216,213,115, 16,  0,  0,  0,  0,  0
2/1986,  0,  0,  0,  0,  0, 28, 51, 94,207,203, 82,  7,  0,  0,  0,  0
3/1986,  0,  0,  0,  0,  0, 12, 54, 89,167,269,148,  5,  0,  0,  0,  0
4/1986,  0,  0,  0,  0,  0,  0,  0, 45,121,310,180, 64,  0,  0,  0,  0
5/1986,  0,  0,  0,  0,  0,  0,  0,  5, 15,143,411,170,  0,  0,  0,  0
6/1986,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,238,425, 57,  0,  0,  0
7/1986,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 96,451,180, 17,  0,  0
8/1986,  0,  0,  0,  0,  0,  0,  0,  0,  0,  3,179,418,137,  7,  0,  0
9/1986,  0,  0,  0,  0,  0,  0,  0,  0,  0,  4,302,367, 47,  0,  0,  0
10/1986,  0,  0,  0,  0,  0,  0,  0, 10,113,214,249,144, 14,  0,  0,  0
11/1986,  0,  0,  0,  0,  0,  4, 10, 36,126,251,261, 32,  0,  0,  0,  0
12/1986,  0,  0,  0,  0,  0,  0,104,234,270,112, 24,  0,  0,  0,  0,  0
1/1987,  0,  0,  0,  0,  0, 28,180,186,233,105, 12,  0,  0,  0,  0,  0
2/1987,  0,  0,  0,  0,  0,  7, 38,161,285,156, 25,  0,  0,  0,  0,  0
3/1987,  0,  0,  0,  0,  0,  3, 33,153,242,203,108,  2,  0,  0,  0,  0
4/1987,  0,  0,  0,  0,  0,  4, 24, 61,160,235,160, 72,  4,  0,  0,  0
5/1987,  0,  0,  0,  0,  0,  0,  0,  0,  0, 41,453,250,  0,  0,  0,  0
6/1987,  0,  0,  0,  0,  0,  0,  0,  0,  0,  6,308,399,  7,  0,  0,  0
7/1987,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,141,461,142,  0,  0,  0
8/1987,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 59,549,136,  0,  0,  0
9/1987,  0,  0,  0,  0,  0,  0,  0,  0,  2, 66,293,336, 23,  0,  0,  0
10/1987,  0,  0,  0,  0,  0,  0,  9, 74,206,274,150, 31,  0,  0,  0,  0
11/1987,  0,  0,  0,  0,  0,  5, 47,111,154,284,107, 12,  0,  0,  0,  0
12/1987,  0,  0,  0,  0,  0, 33, 63,122,192,272, 62,  0,  0,  0,  0,  0
1/1988,  0,  0,  0,  0,  0, 83,185,232,135, 98, 11,  0,  0,  0,  0,  0
2/1988,  0,  0,  0,  0,  0, 42,106,177,187,157, 27,  0,  0,  0,  0,  0
3/1988,  0,  0,  0,  0,  0, 14, 41,102,216,264,103,  4,  0,  0,  0,  0
4/1988,  0,  0,  0,  0,  0,  0,  0, 43,116,248,243, 70,  0,  0,  0,  0
5/1988,  0,  0,  0,  0,  0,  0,  0,  0, 49,197,295,200,  3,  0,  0,  0
6/1988,  0,  0,  0,  0,  0,  0,  0,  0,  6, 31,311,309, 63,  0,  0,  0
7/1988,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,228,437, 79,  0,  0,  0
8/1988,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,185,495, 64,  0,  0,  0
9/1988,  0,  0,  0,  0,  0,  0,  0,  0, 13, 51,283,361, 12,  0,  0,  0
10/1988,  0,  0,  0,  0,  0,  0,  0, 31,120,304,259, 30,  0,  0,  0,  0
11/1988,  0,  0,  0,  0,  0,  0, 14, 82,148,219,234, 23,  0,  0,  0,  0
12/1988,  0,  0,  0,  0,  0, 26,111,182,198,176, 51,  0,  0,  0,  0,  0
1/1989,  0,  0,  0,  0,  0,  0, 40,133,233,271, 66,  1,  0,  0,  0,  0
2/1989,  0,  0,  0,  0,  0, 52, 88,129,135,185, 71, 12,  0,  0,  0,  0
3/1989,  0,  0,  0,  0,  0, 11, 47, 61,195,241,167, 22,  0,  0,  0,  0
4/1989,  0,  0,  0,  0,  0,  0, 15, 57,103,254,211, 80,  0,  0,  0,  0
5/1989,  0,  0,  0,  0,  0,  0,  0,  3, 39,102,361,209, 30,  0,  0,  0
6/1989,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,339,373,  8,  0,  0,  0
7/1989,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,194,483, 67,  0,  0,  0
8/1989,  0,  0,  0,  0,  0,  0,  0,  0,  0, 11,188,435,110,  0,  0,  0
9/1989,  0,  0,  0,  0,  0,  0,  0,  0,  6,147,224,295, 48,  0,  0,  0
10/1989,  0,  0,  0,  0,  0,  0, 11, 48,125,208,264, 88,  0,  0,  0,  0
11/1989,  0,  0,  0,  0,  0, 13, 32,106,167,232,167,  3,  0,  0,  0,  0
12/1989,  0,  0,  0, 25, 31, 81,174,167,148,118,  0,  0,  0,  0,  0,  0
1/1990,  0,  0,  0,  0,  0,  9, 55,200,254,208, 18,  0,  0,  0,  0,  0
2/1990,  0,  0,  0,  0,  0,  0, 27,110,226,234, 75,  0,  0,  0,  0,  0
3/1990,  0,  0,  0,  0,  0,  1, 25, 75,197,302,138,  6,  0,  0,  0,  0
4/1990,  0,  0,  0,  0,  0,  0, 10, 53,122,269,211, 55,  0,  0,  0,  0
5/1990,  0,  0,  0,  0,  0,  0,  0,  0, 31,127,366,218,  2,  0,  0,  0
6/1990,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,221,391,108,  0,  0,  0
7/1990,  0,  0,  0,  0,  0,  0,  0,  0,  0,  3,188,404,149,  0,  0,  0
8/1990,  0,  0,  0,  0,  0,  0,  0,  0,  0, 13,157,363,211,  0,  0,  0
9/1990,  0,  0,  0,  0,  0,  0,  0,  3, 25, 44,258,300, 90,  0,  0,  0
10/1990,  0,  0,  0,  0,  0,  0,  9, 60,101,193,254,110, 17,  0,  0,  0
11/1990,  0,  0,  0,  0,  0,  2, 23, 93,182,261,142, 17,  0,  0,  0,  0
12/1990,  0,  0,  0,  0,  0, 35, 76,125,103,285,120,  0,  0,  0,  0,  0
1/1991,  0,  0,  0,  0,  0,  4, 66,249,246,161, 18,  0,  0,  0,  0,  0
2/1991,  0,  0,  0,  0,  0, 16, 51,128,200,243, 34,  0,  0,  0,  0,  0
3/1991,  0,  0,  0,  0,  0,  0, 15,107,210,256,121, 35,  0,  0,  0,  0
4/1991,  0,  0,  0,  0,  0,  0,  4,  7, 57,234,336, 82,  0,  0,  0,  0
5/1991,  0,  0,  0,  0,  0,  0,  0,  0,  7, 18,493,226,  0,  0,  0,  0
6/1991,  0,  0,  0,  0,  0,  0,  0,  0,  0, 13,283,372, 52,  0,  0,  0
7/1991,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 89,528,127,  0,  0,  0
8/1991,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,152,502, 90,  0,  0,  0
9/1991,  0,  0,  0,  0,  0,  0,  0,  1, 41, 83,248,306, 41,  0,  0,  0
10/1991,  0,  0,  0,  0,  0,  0,  0, 30, 79,172,344,119,  0,  0,  0,  0
11/1991,  0,  0,  0,  0,  0, 36, 98,167,177,156, 86,  0,  0,  0,  0,  0
12/1991,  0,  0,  0,  0,  0,  7, 72,159,230,215, 61,  0,  0,  0,  0,  0
1/1992,  0,  0,  0,  0,  0, 40,126,199,268,106,  5,  0,  0,  0,  0,  0
2/1992,  0,  0,  0,  0,  0,  5, 43,154,244,196, 54,  0,  0,  0,  0,  0
3/1992,  0,  0,  0,  0,  0,  4, 36, 84,229,267,116,  8,  0,  0,  0,  0
4/1992,  0,  0,  0,  0,  0,  0,  2, 49,160,228,246, 35,  0,  0,  0,  0
5/1992,  0,  0,  0,  0,  0,  0,  0, 19, 39,168,318,200,  0,  0,  0,  0
6/1992,  0,  0,  0,  0,  0,  0,  0,  0,  0,  4,276,374, 66,  0,  0,  0
7/1992,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,160,446,138,  0,  0,  0
8/1992,  0,  0,  0,  0,  0,  0,  0,  0,  0, 14,248,440, 42,  0,  0,  0
9/1992,  0,  0,  0,  0,  0,  0,  0,  0,  4, 34,367,310,  5,  0,  0,  0
10/1992,  0,  0,  0,  0,  0,  0,  0, 16, 74,302,275, 77,  0,  0,  0,  0
11/1992,  0,  0,  0,  0,  0,  5, 67,170,173,182,122,  1,  0,  0,  0,  0
12/1992,  0,  0,  0,  0,  0,  0, 46,138,296,239, 25,  0,  0,  0,  0,  0
1/1993,  0,  0,  0,  0,  0,  5, 48,142,296,237, 16,  0,  0,  0,  0,  0
2/1993,  0,  0,  0,  0,  0, 12, 67,200,222,162,  9,  0,  0,  0,  0,  0
3/1993,  0,  0,  0,  0,  0, 18, 42,129,250,217, 84,  4,  0,  0,  0,  0
4/1993,  0,  0,  0,  0,  0,  0,  0, 68,212,274,161,  5,  0,  0,  0,  0
5/1993,  0,  0,  0,  0,  0,  0,  0,  0, 31,217,360,136,  0,  0,  0,  0
6/1993,  0,  0,  0,  0,  0,  0,  0,  0,  0, 17,287,356, 60,  0,  0,  0
7/1993,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,128,492,124,  0,  0,  0
8/1993,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 24,570,150,  0,  0,  0
9/1993,  0,  0,  0,  0,  0,  0,  0,  3, 19, 28,254,378, 38,  0,  0,  0
10/1993,  0,  0,  0,  0,  0,  0, 23, 18, 64,208,318,113,  0,  0,  0,  0
11/1993,  0,  0,  0,  0,  0,  9, 62,118,216,160,154,  1,  0,  0,  0,  0
12/1993,  0,  0,  0,  0,  0, 18,128,208,220,151, 19,  0,  0,  0,  0,  0
1/1994,  0,  0,  0,  0,  0, 59,152,218,199, 98, 18,  0,  0,  0,  0,  0
2/1994,  0,  0,  0,  0,  0,  7, 84,141,169,207, 64,  0,  0,  0,  0,  0
3/1994,  0,  0,  0,  0,  0,  0, 38,100,209,244,126, 27,  0,  0,  0,  0
4/1994,  0,  0,  0,  0,  0,  0,  8, 27, 86,245,254,100,  0,  0,  0,  0
5/1994,  0,  0,  0,  0,  0,  0,  0,  0, 22,126,374,222,  0,  0,  0,  0
6/1994,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,294,357, 69,  0,  0,  0
7/1994,  0,  0,  0,  0,  0,  0,  0,  0,  0,  6,240,460, 38,  0,  0,  0
8/1994,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,227,458, 59,  0,  0,  0
9/1994,  0,  0,  0,  0,  0,  0,  0,  0, 13, 70,335,288, 14,  0,  0,  0
10/1994,  0,  0,  0,  0,  0,  0,  0, 17, 62,218,345,102,  0,  0,  0,  0
11/1994,  0,  0,  0,  0,  0,  0, 11, 63,177,274,170, 25,  0,  0,  0,  0
12/1994,  0,  0,  0,  0,  0,  2, 87,124,282,198, 51,  0,  0,  0,  0,  0
1/1995,  0,  0,  0,  0,  0, 21,107,249,223,130, 14,  0,  0,  0,  0,  0
2/1995,  0,  0,  0,  0,  0, 22, 90,149,187,186, 38,  0,  0,  0,  0,  0
3/1995,  0,  0,  0,  0,  0,  5, 31, 72,215,281,109, 31,  0,  0,  0,  0
4/1995,  0,  0,  0,  0,  0,  0,  0, 29,140,237,247, 67,  0,  0,  0,  0
5/1995,  0,  0,  0,  0,  0,  0,  0,  0, 23, 91,354,258, 18,  0,  0,  0
6/1995,  0,  0,  0,  0,  0,  0,  0,  0,  5, 35,310,310, 60,  0,  0,  0
7/1995,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,127,457,160,  0,  0,  0
8/1995,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 81,480,181,  2,  0,  0
9/1995,  0,  0,  0,  0,  0,  0,  0,  0, 12, 72,239,333, 64,  0,  0,  0
10/1995,  0,  0,  0,  0,  0,  0,  1, 21,121,183,313,101,  4,  0,  0,  0
11/1995,  0,  0,  0,  0,  0,  0, 59,145,219,195, 98,  4,  0,  0,  0,  0
12/1995,  0,  0,  0,  0,  0, 77,168,103,124,198, 74,  0,  0,  0,  0,  0
1/1996,  0,  0,  0,  0,  0, 79,114,176,176,183, 16,  0,  0,  0,  0,  0
2/1996,  0,  0,  0,  3, 37, 45, 93,107,159,172, 72,  8,  0,  0,  0,  0
3/1996,  0,  0,  0,  0,  0, 52, 84,134,164,204, 98,  8,  0,  0,  0,  0
4/1996,  0,  0,  0,  0,  0,  0, 12, 74,164,263,161, 46,  0,  0,  0,  0
5/1996,  0,  0,  0,  0,  0,  0,  0,  0, 30,102,317,256, 39,  0,  0,  0
6/1996,  0,  0,  0,  0,  0,  0,  0,  0,  0, 15,301,339, 65,  0,  0,  0
7/1996,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,151,451,142,  0,  0,  0
8/1996,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,218,455, 71,  0,  0,  0
9/1996,  0,  0,  0,  0,  0,  0,  0,  0, 16, 56,295,337, 16,  0,  0,  0
10/1996,  0,  0,  0,  0,  0,  0,  0, 23, 75,263,294, 89,  0,  0,  0,  0
11/1996,  0,  0,  0,  0,  0,  0, 26,130,154,261,134, 15,  0,  0,  0,  0
12/1996,  0,  0,  0,  0,  0, 44, 76,114,156,283, 71,  0,  0,  0,  0,  0
1/1997,  0,  0,  0,  0,  0, 69,155,133,132,215, 40,  0,  0,  0,  0,  0
2/1997,  0,  0,  0,  0,  0,  0, 54,203,172,180, 63,  0,  0,  0,  0,  0
3/1997,  0,  0,  0,  0,  0,  0,  6, 34,158,303,203, 40,  0,  0,  0,  0
4/1997,  0,  0,  0,  0,  0,  0,  6, 48,178,315,156, 17,  0,  0,  0,  0
5/1997,  0,  0,  0,  0,  0,  0,  0,  3, 30,205,356,143,  7,  0,  0,  0
6/1997,  0,  0,  0,  0,  0,  0,  0,  0,  0, 28,365,300, 27,  0,  0,  0
7/1997,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 96,527,120,  1,  0,  0
8/1997,  0,  0,  0,  0,  0,  0,  0,  0,  0, 10,131,463,140,  0,  0,  0
9/1997,  0,  0,  0,  0,  0,  0,  0,  0,  0, 12,320,322, 66,  0,  0,  0
10/1997,  0,  0,  0,  0,  0,  0,  5, 40,125,196,266,112,  0,  0,  0,  0
11/1997,  0,  0,  0,  0,  0,  6, 32,164,245,225, 42,  6,  0,  0,  0,  0
12/1997,  0,  0,  0,  0,  0, 19,164,212,212,122, 15,  0,  0,  0,  0,  0
1/1998,  0,  0,  0,  0,  0,  5, 43,219,272,192, 13,  0,  0,  0,  0,  0
2/1998,  0,  0,  0,  0,  0,  2, 46,184,280,149, 11,  0,  0,  0,  0,  0
3/1998,  0,  0,  0,  0,  0, 20, 76,135,179,226,102,  6,  0,  0,  0,  0
4/1998,  0,  0,  0,  0,  0,  0,  0, 37,139,288,211, 45,  0,  0,  0,  0
5/1998,  0,  0,  0,  0,  0,  0,  0,  0,  7,114,294,259, 70,  0,  0,  0
6/1998,  0,  0,  0,  0,  0,  0,  0,  0,  0, 17,183,309,211,  0,  0,  0
7/1998,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 62,451,231,  0,  0,  0
8/1998,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,139,392,207,  6,  0,  0
9/1998,  0,  0,  0,  0,  0,  0,  0,  0,  0, 15,354,299, 52,  0,  0,  0
10/1998,  0,  0,  0,  0,  0,  0,  0, 19, 61,198,309,148,  9,  0,  0,  0
11/1998,  0,  0,  0,  0,  0,  0, 10, 31,157,307,209,  6,  0,  0,  0,  0
12/1998,  0,  0,  0,  0,  0,  5, 99,144,149,237,102,  8,  0,  0,  0,  0
1/1999,  0,  0,  0,  0,  0, 62, 55, 88,189,264, 86,  0,  0,  0,  0,  0
2/1999,  0,  0,  0,  0,  0,  9, 55,107,194,217, 84,  6,  0,  0,  0,  0
3/1999,  0,  0,  0,  0,  0,  0, 33,109,254,251, 97,  0,  0,  0,  0,  0
4/1999,  0,  0,  0,  0,  0,  0,  2, 21, 85,221,240,144,  7,  0,  0,  0
5/1999,  0,  0,  0,  0,  0,  0,  0,  0, 27,147,332,238,  0,  0,  0,  0
6/1999,  0,  0,  0,  0,  0,  0,  0,  0,  0, 10,305,358, 47,  0,  0,  0
7/1999,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,204,436,104,  0,  0,  0
8/1999,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 90,395,255,  4,  0,  0
9/1999,  0,  0,  0,  0,  0,  0,  0,  3, 41,114,251,270, 41,  0,  0,  0
10/1999,  0,  0,  0,  0,  0,  0, 10, 37,102,177,307,111,  0,  0,  0,  0
11/1999,  0,  0,  0,  0,  0,  0, 31, 91,189,266,139,  4,  0,  0,  0,  0
12/1999,  0,  0,  0,  0,  0, 19,123,208,183,169, 42,  0,  0,  0,  0,  0
1/2000,  0,  0,  0,  0,  0, 49,132,138,175,185, 65,  0,  0,  0,  0,  0
2/2000,  0,  0,  0,  0,  0, 13, 60,117,173,224,106,  3,  0,  0,  0,  0
3/2000,  0,  0,  0,  0,  0,  0, 12, 47,171,281,203, 30,  0,  0,  0,  0
4/2000,  0,  0,  0,  0,  0,  0,  7, 33,135,266,216, 63,  0,  0,  0,  0
5/2000,  0,  0,  0,  0,  0,  0,  0,  0, 12,127,293,260, 52,  0,  0,  0
6/2000,  0,  0,  0,  0,  0,  0,  0,  0,  0, 18,278,321,103,  0,  0,  0
7/2000,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,156,305,217, 66,  0,  0
8/2000,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,154,333,220, 37,  0,  0
9/2000,  0,  0,  0,  0,  0,  0,  0,  3, 46, 75,207,326, 63,  0,  0,  0
